sentiment,anger,fear,disgust,happiness,sadness,surprise,cleaned_comment
-1.11475,0.5945,0.4945,0.6360000000000001,-0.07150000000000004,-0.19525,-0.28400000000000003,keren bin bantuan korban gempa cianjur layanan dor to dor binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.44349999999999995,0.741,0.2665,0.3185,-0.224,0.21950000000000003,0.5565,terimakasih bin tim membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,0.0,0.0,0.0,0.0,0.0,keren semoga korban gempa cianjur pulih binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.517,-0.099,0.377,-0.423,-0.401,0.407,0.304,klaim gempa cianjur berpotensi mencapai rp triliun
0.0854,0.3288,0.645,0.337,0.8324,0.6228,0.29379999999999995,mantap bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,keren bin tembus desa terisolir bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,posko bantuan bin bermanfat korban gempa cianjur
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,lembaga bin membantu korban cianjur bin pedulibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,alhamdulilah bin bantuan korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.11475,0.5945,0.4945,0.6360000000000001,-0.07150000000000004,-0.19525,-0.28400000000000003,mantap bin bantu korban gempa cianjur layanan dor to dor binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,0.0,0.0,0.0,0.0,0.0,apersi peduli bantuan kemanusian korban gempa cianjur
1.4535,-0.618,-0.444,-1.0005,0.5175000000000001,0.3415,-1.2469999999999999,kabid humas polda jabar polri berperan aktif pendistirbusian bantuan sosial korban gempa cianjur suara km media kabid humas polda jabar polri berperan aktif pendistirbusian bantuan sosial korban gempa cianjur
-0.367,0.49733333333333335,0.9559999999999998,0.033,1.7383333333333333,-0.06299999999999999,1.78,news bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.153,0.316,1.0799999999999998,0.122,0.249,-0.1795,1.986,news bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.3000000000000001,-0.13275,0.8577499999999999,-0.30275,0.6575,0.20575,0.7285,news bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.153,0.316,1.0799999999999998,0.122,0.249,-0.1795,1.986,news bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.11866666666666674,0.6709999999999999,0.1543333333333333,0.37966666666666665,1.1239999999999999,-0.13066666666666663,0.8470000000000001,info bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.42449999999999993,0.5765,-0.12250000000000003,0.642,-0.6725,-0.28099999999999997,0.5865,info bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.06424999999999997,-0.0025000000000000022,0.2565,-0.04275000000000001,0.19674999999999998,0.15499999999999997,0.028749999999999998,info bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.42449999999999993,0.5765,-0.12250000000000003,0.642,-0.6725,-0.28099999999999997,0.5865,info bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.63,0.059,0.21,-0.17,0.284,-0.471,-0.136,mensos anak anak yatim piatu korban gempa cianjur cita cita tingi insiden insiden
-0.09849999999999992,0.6255,0.08849999999999997,0.013999999999999999,1.9229999999999998,-0.15399999999999997,0.8135000000000001,bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.09866666666666668,-0.25733333333333336,0.24666666666666667,-0.42733333333333334,0.4203333333333333,0.23466666666666666,-0.2663333333333333,bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin peduli kondisi kesehatan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.5529999999999999,-0.5815,0.6355,-0.7275,1.0659999999999998,0.591,-0.529,kegiatan trauma healing anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin peduli pengungsi korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin bergerak cepat pulihkan gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin peduli kemanusian korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,ratusan pengungsi korban gempa cianjur posko bantuan bin bantu kemanusian binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
-0.9035,-0.14750000000000002,-0.08800000000000002,-0.3075,-0.5175,-0.5585,0.165,bin membantu korban gempa cianjur mengalami trauma binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.45725,0.31325,0.9390000000000001,0.378,1.2582499999999999,0.8980000000000001,0.3025,badan intelijen negara terjunkan tim trauma healing kebangkitan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,ratusan pengungsi korban gempa cianjur posko bantuan bin bantuan kemanusian binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.208,1.325,1.421,2.503,2.478,1.493,1.414,bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.05475000000000002,0.07974999999999999,0.45099999999999996,-0.20450000000000002,0.42099999999999993,0.40525000000000005,0.013749999999999984,tim trauma healing bin membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.05475000000000002,0.07974999999999999,0.45099999999999996,-0.20450000000000002,0.42099999999999993,0.40525000000000005,0.013749999999999984,tim trauma healing bin bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.7446666666666667,0.6463333333333333,1.1336666666666666,0.7666666666666667,1.7323333333333333,1.4103333333333332,0.3796666666666666,tim traumw healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.783,-0.355,0.17200000000000001,-1.218,0.45299999999999996,-0.2635,-0.5760000000000001,mas bukumu masuk diselamatkan pasca gempa cianjur
-0.597,0.858,0.445,1.338,0.8035000000000001,0.5075000000000001,0.8365,bin bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.44349999999999995,0.741,0.2665,0.3185,-0.224,0.21950000000000003,0.5565,tim posko bin bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,alhamdulilah terimakasih bin udah peduli korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,posko bantuan bin sigap bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0854,0.3288,0.6449999999999999,0.337,0.8324,0.6228,0.29379999999999995,tim trauma healing bin bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.5403333333333333,-0.02400000000000002,0.7783333333333333,-0.33033333333333337,0.8516666666666666,0.6996666666666668,-0.06800000000000002,tim trauma healing bantu anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.05475000000000002,0.07974999999999999,0.451,-0.20450000000000002,0.42099999999999993,0.40525,0.013749999999999984,bin bantuan tim trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,warga korban gempa cianjur berterima kasih bin sedah bantuan logistikbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,terimakasih bin bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,0.0,0.0,0.0,0.0,0.0,salah warga mewakili pengungsi korban gempa cianjur berterima kasih binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,0.0,0.0,0.0,0.0,0.0,bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,andreas insap perwakilan dinas kesehatan kabupaten cianjur senang bin melayani masyarakat korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.405,-0.686,0.355,-0.788,-0.164,-0.639,0.071,korban gempa cianjur layanan trauma healingbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,0.0,0.0,0.0,0.0,0.0,bian bantu layanan kesehatan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,cepat bin pelayanan kesehatan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,layanan kesehatan bin korban gempa cianjur diapresiasibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
