Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
@kala_piteng  BIN serahkan Bantuan Sembako dan pengobatan gratis bagi masyarakat terdampak Bencana Gempa Bumi Cianjur #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/Pajtt14Soa,@KimMill06064763,2022-12-16 02:02:48,in,,1.0,1.0,@kala_piteng,Kim Miller,"Model, Content Creator, Lovely gf 💖",1459.0,51.0,29.0,0.0,False,,
@FarahMaulidya7  Terima kasih bantuannya BIN sangat bermanfaat untuk masyarakat Cianjur #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #BINPeduliSesama #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/rhHYoUbLWC,@KimMill06064763,2022-12-16 02:02:48,in,,0.0,0.0,@FarahMaulidya7,Kim Miller,"Model, Content Creator, Lovely gf 💖",1459.0,51.0,29.0,0.0,False,,
@kala_piteng  BIN siapkan nakes dan siapkan kebutuhan pokok korban gempa Cianjur #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #BINPeduliSesama #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/8stSBGtMbF,@KimMill06064763,2022-12-16 02:02:48,in,,1.0,1.0,@kala_piteng,Kim Miller,"Model, Content Creator, Lovely gf 💖",1459.0,51.0,29.0,0.0,False,,
"Mantap BIN, gerak cepat bantu mitigasi gempa Cianjur #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/9J78syvbVF",@AmelLianst,2022-12-16 02:01:12,in,,0.0,0.0,,amel lianst,menjadi manusia,36.0,9.0,178.0,0.0,False,,
Keren! BIN selalu di depan #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/mqU8tsMjew,@Latonya59616638,2022-12-16 02:01:07,in,,0.0,0.0,,Latonya Simmons,,239.0,62.0,26.0,0.0,False,,
"Terimakasih BIN sudah respon cepat terhadap korban gempa di cianjur, pray for cianjur #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/KWSI9Kb2My",@AmelLianst,2022-12-16 02:01:06,in,,0.0,0.0,,amel lianst,menjadi manusia,36.0,9.0,178.0,0.0,False,,
"Sangat peduli terhadap kemanusiaan, BIN serahkan bantuan logistik, pray for cianjur, #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/5dFWFVXF7Y",@AmelLianst,2022-12-16 02:01:05,in,,0.0,0.0,,amel lianst,menjadi manusia,36.0,9.0,178.0,0.0,False,,
Jempol buat bantuan kemanusiaan BIN #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/u8GQsYO9Re,@AmelLianst,2022-12-16 02:01:05,in,,0.0,0.0,,amel lianst,menjadi manusia,36.0,9.0,178.0,0.0,False,,
"Jempol buat BIN, gercep bantu korban gempa bumi di Cianjur, pray for cianjur #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/66Lqoni1fl",@AmelLianst,2022-12-16 02:01:04,in,,0.0,0.0,,amel lianst,menjadi manusia,36.0,9.0,178.0,0.0,False,,
"Sangat keren respon cepat BIN bantu korban gempa bumi Cianjur, pray for cianjur  #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/2gWVClbAZ2",@AmelLianst,2022-12-16 02:01:02,in,,0.0,0.0,,amel lianst,menjadi manusia,36.0,9.0,178.0,0.0,False,,
